ym,pay
2012-01,116926.63
2012-02,223846.01
2012-03,287170.24
2012-04,293894.41
2012-05,337892.27
2012-06,382691.35
2012-07,425950.77
2012-08,481894.14
2012-09,553118.95
2012-10,727974.47
2012-11,999688.54
2012-12,966201.38
2013-01,1204690.47
2013-02,1054444.04
2013-03,2266853.07
2013-04,1909022.21
2013-05,2101898.33
2013-06,1675057.65
2013-07,1589387.97
2013-08,1588214.24
2013-09,1277091.58
2013-10,637366.49
2013-11,1299128.35
2013-12,1709781.94
2014-01,1768249.7
2014-02,2051750.87
2014-03,2525341.76
2014-04,2960646.17
2014-05,4196809.72
2014-06,3994476.92
2014-07,4402561.57
2014-08,4130164.64
2014-09,3537490
2014-10,2607704.98
2014-11,3114445.48
2014-12,4024505.32
2015-01,4674250.63
2015-02,2827661.62
2015-03,5515758.98
2015-04,5366089.59
2015-05,5704300.01
2015-06,5746112.64
2015-07,6458040.92
2015-08,6889674.77
2015-09,7774309.83
2015-10,7649813.87
2015-11,13857965.93
2015-12,11083878.38
2016-01,13408462.83
2016-02,5591577.17
2016-03,5848476.7
